"CRUISE","STATION","LAT","LONG","YYYY.MM.DD","YEAR","MONTH","DAY","hh.mm","DEPTH","Bot..Depth..m.","TEMPERATURE","SALINITY","DO","DENSITY","my_pressure","my_density"
"1","AMVR2022","ST1",38.96449,20.30417,"1/12/2021",2021,12,1,"0:00",198.136646,198.136646,13.07284911,38.42211903,4.79881069,1029.923455,20.8136646,1029.03186180738
"2","AMVR2022","ST1",38.96449,20.30417,"1/12/2021",2021,12,1,"0:00",191.9254658,198.136646,13.01073731,38.41466569,4.807926515,1029.902919,20.19254658,1029.03899874753
"3","AMVR2022","ST1",38.96449,20.30417,"1/12/2021",2021,12,1,"0:00",183.8509317,198.136646,13.04355664,38.41483027,4.830968556,1029.859871,19.38509317,1029.03230337999
"4","AMVR2022","ST1",38.96449,20.30417,"1/12/2021",2021,12,1,"0:00",177.6397516,198.136646,13.04453632,38.41876855,4.840071093,1029.834828,18.76397516,1029.03515625484
"5","AMVR2022","ST1",38.96449,20.30417,"1/12/2021",2021,12,1,"0:00",169.5652174,198.136646,13.02477941,38.41131521,4.849213494,1029.796955,17.95652174,1029.03348003435
"6","AMVR2022","ST1",38.96449,20.30417,"1/12/2021",2021,12,1,"0:00",160.4554865,198.136646,13.04724677,38.4077061,4.867591316,1029.748507,17.04554865,1029.02600618992
"7","AMVR2022","ST1",38.96449,20.30417,"1/12/2021",2021,12,1,"0:00",155.4865424,198.136646,13.02700002,38.40785893,4.872016345,1029.730566,16.54865424,1029.03033570681
"8","AMVR2022","ST1",38.96449,20.30417,"1/12/2021",2021,12,1,"0:00",148.447205,198.136646,13.02811033,38.40035856,4.890434032,1029.69289,15.8447205,1029.02428325878
"9","AMVR2022","ST1",38.96449,20.30417,"1/12/2021",2021,12,1,"0:00",144.3064182,198.136646,13.07082443,38.39669067,4.913489361,1029.662452,15.43064182,1029.01254869328
"10","AMVR2022","ST1",38.96449,20.30417,"1/12/2021",2021,12,1,"0:00",135.610766,198.136646,13.05116549,38.38926084,4.936491537,1029.621753,14.5610766,1029.01087478193
"11","AMVR2022","ST1",38.96449,20.30417,"1/12/2021",2021,12,1,"0:00",129.8136646,198.136646,13.03104937,38.39317561,4.964131356,1029.602959,13.98136646,1029.01809705959
