Cruise,Station,Latitude,Longitude,Year,Month,Day,Hour,Depth,Temperature,Salinity
AA,1,40.076883,11.343696,2019,1,1,12:00,0,13.92,37.9
AA,1,40.076883,11.343696,2019,1,1,12:00,5,13.85,37.92
AA,1,40.076883,11.343696,2019,1,1,12:00,10,13.81,37.94
AA,1,40.076883,11.343696,2019,1,1,12:00,15,13.82,37.95
AA,1,40.076883,11.343696,2019,1,1,12:00,20,13.75,37.97
AA,1,40.076883,11.343696,2019,1,1,12:00,25,13.75,38
AA,1,40.076883,11.343696,2019,1,1,12:00,30,13.75,38.01
AA,1,40.076883,11.343696,2019,1,1,12:00,35,13.72,38.01
AA,1,40.076883,11.343696,2019,1,1,12:00,40,13.72,38.01
AA,1,40.076883,11.343696,2019,1,1,12:00,45,13.73,38.03
AA,1,40.076883,11.343696,2019,1,1,12:00,50,13.69,38.03
AA,1,40.076883,11.343696,2019,1,1,12:00,55,13.7,38.04
AA,1,40.076883,11.343696,2019,1,1,12:00,60,13.7,38.05
AA,1,40.076883,11.343696,2019,1,1,12:00,65,13.74,38.06
AA,1,40.076883,11.343696,2019,1,1,12:00,70,13.67,38.08
AA,1,40.076883,11.343696,2019,1,1,12:00,75,13.67,38.11
AA,1,40.076883,11.343696,2019,1,1,12:00,80,13.71,38.12
AA,1,40.076883,11.343696,2019,1,1,12:00,85,13.72,38.13
AA,1,40.076883,11.343696,2019,1,1,12:00,90,13.72,38.14
AA,1,40.076883,11.343696,2019,1,1,12:00,95,13.8,38.17
AA,1,40.076883,11.343696,2019,1,1,12:00,100,13.81,38.18
AA,1,40.076883,11.343696,2019,1,1,12:00,110,13.81,38.2
AA,1,40.076883,11.343696,2019,1,1,12:00,120,13.82,38.23
AA,1,40.076883,11.343696,2019,1,1,12:00,130,13.79,38.26
AA,1,40.076883,11.343696,2019,1,1,12:00,140,13.95,38.3
AA,1,40.076883,11.343696,2019,1,1,12:00,150,13.96,38.33
AA,1,40.076883,11.343696,2019,1,1,12:00,160,13.96,38.36
AA,1,40.076883,11.343696,2019,1,1,12:00,170,14.05,38.37
AA,1,40.076883,11.343696,2019,1,1,12:00,180,13.98,38.4
AA,1,40.076883,11.343696,2019,1,1,12:00,190,14.02,38.42
AA,1,40.076883,11.343696,2019,1,1,12:00,200,13.99,38.44
BB,1,40.076883,11.343696,2019,4,1,12:00,0,17.38,37.71
BB,1,40.076883,11.343696,2019,4,1,12:00,5,17.16,37.75
BB,1,40.076883,11.343696,2019,4,1,12:00,10,16.98,37.79
BB,1,40.076883,11.343696,2019,4,1,12:00,15,16.68,37.84
BB,1,40.076883,11.343696,2019,4,1,12:00,20,16.12,37.88
BB,1,40.076883,11.343696,2019,4,1,12:00,25,15.59,37.92
BB,1,40.076883,11.343696,2019,4,1,12:00,30,15.26,37.95
BB,1,40.076883,11.343696,2019,4,1,12:00,35,15.04,37.97
BB,1,40.076883,11.343696,2019,4,1,12:00,40,14.74,37.98
BB,1,40.076883,11.343696,2019,4,1,12:00,45,14.36,38
BB,1,40.076883,11.343696,2019,4,1,12:00,50,14.29,38
BB,1,40.076883,11.343696,2019,4,1,12:00,55,14.22,38.01
